year,crime_count
2001,11483
2002,12657
2003,12840
2004,15915
2005,14146
2006,13573
2007,12702
2008,11246
2009,11494
2010,10551
2011,10240
2012,9808
2013,9788
2014,9431
2015,8585
2016,8004
2017,7774
2018,7048
2019,6983
2020,6581
2021,5859
2022,6836
