year,crime_count
2001,12101
2002,13309
2003,13511
2004,16151
2005,14720
2006,14205
2007,13525
2008,13350
2009,13702
2010,12316
2011,12052
2012,11267
2013,11206
2014,10009
2015,8745
2016,7876
2017,7672
2018,7169
2019,7280
2020,6966
2021,6362
2022,6828
