year,crime_count
2001,18628
2002,21807
2003,21098
2004,24835
2005,23523
2006,24620
2007,25330
2008,24441
2009,24003
2010,20767
2011,19354
2012,18415
2013,17211
2014,15260
2015,14145
2016,13271
2017,11577
2018,10973
2019,10064
2020,9620
2021,8823
2022,8822
